date;value
10.07.2019;12156.51
09.07.2019;12573.81
08.07.2019;12285.96
07.07.2019;11450.85
06.07.2019;11208.55
05.07.2019;10978.46
04.07.2019;11215.44
03.07.2019;11961.27
02.07.2019;10801.68
01.07.2019;10583.13
30.06.2019;10817.16
29.06.2019;11959.37
28.06.2019;12407.33
27.06.2019;11182.81
26.06.2019;13016.23
25.06.2019;11790.92
24.06.2019;11011.10
23.06.2019;10855.37
22.06.2019;10701.69
21.06.2019;10144.56
20.06.2019;9527.16
19.06.2019;9273.52
18.06.2019;9081.76
17.06.2019;9320.35
16.06.2019;8994.49
15.06.2019;8838.38
14.06.2019;8693.83
13.06.2019;8230.92
12.06.2019;8145.86
11.06.2019;7927.71
10.06.2019;8000.33
09.06.2019;7688.08
08.06.2019;7954.13
07.06.2019;8043.95
06.06.2019;7822.02
05.06.2019;7824.23
04.06.2019;7707.77
03.06.2019;8208.99
02.06.2019;8742.96
01.06.2019;8564.02
31.05.2019;8574.50
30.05.2019;8319.47
29.05.2019;8659.49
28.05.2019;8719.96
27.05.2019;8805.78
26.05.2019;8673.22
25.05.2019;8052.54
24.05.2019;7987.37
23.05.2019;7881.85
22.05.2019;7680.07
21.05.2019;7963.33
20.05.2019;7978.31
19.05.2019;8197.69
18.05.2019;7271.21
17.05.2019;7343.90
16.05.2019;7884.91
15.05.2019;8205.17
14.05.2019;7994.42
13.05.2019;7814.92
12.05.2019;6972.37
11.05.2019;7204.77
10.05.2019;6378.85
09.05.2019;6174.53
08.05.2019;5982.46
07.05.2019;5829.50
06.05.2019;5746.81
05.05.2019;5795.71
04.05.2019;5831.17
03.05.2019;5768.29
02.05.2019;5505.28
01.05.2019;5402.70
30.04.2019;5350.73
29.04.2019;5247.35
28.04.2019;5285.14
27.04.2019;5268.29
26.04.2019;5279.35
25.04.2019;5210.52
24.04.2019;5464.87
23.04.2019;5572.36
22.04.2019;5399.37
21.04.2019;5314.53
20.04.2019;5337.89
19.04.2019;5303.81
18.04.2019;5298.39
17.04.2019;5251.94
16.04.2019;5235.56
15.04.2019;5067.11
14.04.2019;5167.72
13.04.2019;5096.59
12.04.2019;5089.54
11.04.2019;5064.49
10.04.2019;5324.55
09.04.2019;5204.96
